Source IP,Destination IP,Protocol,Length,Time,SYN_Flag,ACK_Flag,FIN_Flag,RST_Flag,PSH_Flag,URG_Flag,Source_Port,Dest_Port,TTL,Window_Size,Payload
40.112.186.181,192.168.51.100,TCP,186,2024-12-06T10:40:07.000233,0,0,0,0,0,0,443,50462,104,49155,TLS
192.168.51.100,40.112.186.181,TCP,54,2024-12-06T10:40:07.000356,0,0,0,0,0,0,50462,443,128,1021,TCP
192.168.51.100,192.168.51.163,UDP,73,2024-12-06T10:40:07.012993,0,0,0,0,0,0,59872,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,73,2024-12-06T10:40:07.013614,0,0,0,0,0,0,65279,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,205,2024-12-06T10:40:07.071030,0,0,0,0,0,0,53,59872,64,,DNS
192.168.51.163,192.168.51.100,UDP,249,2024-12-06T10:40:07.071030,0,0,0,0,0,0,53,65279,64,,DNS
192.168.51.100,204.79.197.222,TCP,66,2024-12-06T10:40:07.072705,0,0,0,0,0,0,50463,443,128,65535,TCP
204.79.197.222,192.168.51.100,TCP,66,2024-12-06T10:40:07.107349,0,0,0,0,0,0,443,50463,115,65535,TCP
192.168.51.100,204.79.197.222,TCP,54,2024-12-06T10:40:07.107527,0,0,0,0,0,0,50463,443,128,262144,TCP
192.168.51.100,204.79.197.222,TCP,798,2024-12-06T10:40:07.110339,0,0,0,0,0,0,50463,443,128,262144,TLS
204.79.197.222,192.168.51.100,TCP,54,2024-12-06T10:40:07.206985,0,0,0,0,0,0,443,50463,116,4193792,TCP
204.79.197.222,192.168.51.100,TCP,153,2024-12-06T10:40:07.206985,0,0,0,0,0,0,443,50463,116,4193792,TLS
192.168.51.100,204.79.197.222,TCP,54,2024-12-06T10:40:07.207125,0,0,0,0,0,0,50463,443,128,261888,TCP
192.168.51.100,204.79.197.222,TCP,869,2024-12-06T10:40:07.216992,0,0,0,0,0,0,50463,443,128,261888,TLS
204.79.197.222,192.168.51.100,TCP,54,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TCP
204.79.197.222,192.168.51.100,TCP,1334,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TLS
204.79.197.222,192.168.51.100,TCP,1334,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TCP
204.79.197.222,192.168.51.100,TCP,1334,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TCP
204.79.197.222,192.168.51.100,TCP,1334,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TCP
204.79.197.222,192.168.51.100,TCP,1290,2024-12-06T10:40:07.287585,0,0,0,0,0,0,443,50463,116,4194560,TLS
192.168.51.100,204.79.197.222,TCP,54,2024-12-06T10:40:07.287775,0,0,0,0,0,0,50463,443,128,262144,TCP
192.168.51.100,204.79.197.222,TCP,128,2024-12-06T10:40:07.300025,0,0,0,0,0,0,50463,443,128,262144,TLS
192.168.51.100,204.79.197.222,TCP,134,2024-12-06T10:40:07.300813,0,0,0,0,0,0,50463,443,128,262144,TLS
192.168.51.100,204.79.197.222,TCP,1056,2024-12-06T10:40:07.300954,0,0,0,0,0,0,50463,443,128,262144,TLS
204.79.197.222,192.168.51.100,TCP,54,2024-12-06T10:40:07.348727,0,0,0,0,0,0,443,50463,116,4194304,TCP
204.79.197.222,192.168.51.100,TCP,513,2024-12-06T10:40:07.348727,0,0,0,0,0,0,443,50463,116,4194304,TLS
204.79.197.222,192.168.51.100,TCP,116,2024-12-06T10:40:07.348727,0,0,0,0,0,0,443,50463,116,4194304,TLS
192.168.51.100,204.79.197.222,TCP,54,2024-12-06T10:40:07.348897,0,0,0,0,0,0,50463,443,128,261376,TCP
192.168.51.100,204.79.197.222,TCP,85,2024-12-06T10:40:07.350958,0,0,0,0,0,0,50463,443,128,261376,TLS
204.79.197.222,192.168.51.100,TCP,54,2024-12-06T10:40:07.366171,0,0,0,0,0,0,443,50463,116,4194304,TCP
204.79.197.222,192.168.51.100,TCP,85,2024-12-06T10:40:07.366171,0,0,0,0,0,0,443,50463,116,4193280,TLS
204.79.197.222,192.168.51.100,TCP,241,2024-12-06T10:40:07.366171,0,0,0,0,0,0,443,50463,116,4193280,TLS
204.79.197.222,192.168.51.100,TCP,85,2024-12-06T10:40:07.366171,0,0,0,0,0,0,443,50463,116,4193280,TLS
192.168.51.100,204.79.197.222,TCP,54,2024-12-06T10:40:07.366342,0,0,0,0,0,0,50463,443,128,261120,TCP
204.79.197.222,192.168.51.100,TCP,54,2024-12-06T10:40:07.415814,0,0,0,0,0,0,443,50463,116,4193280,TCP
192.168.51.100,20.42.73.28,TCP,172,2024-12-06T10:40:08.619756,0,0,0,0,0,0,50445,443,128,509,TLS
192.168.51.100,20.42.73.28,TCP,93,2024-12-06T10:40:08.619916,0,0,0,0,0,0,50445,443,128,509,TLS
192.168.51.100,20.42.73.28,TCP,1164,2024-12-06T10:40:08.619974,0,0,0,0,0,0,50445,443,128,509,TLS
20.42.73.28,192.168.51.100,TCP,54,2024-12-06T10:40:08.944344,0,0,0,0,0,0,443,50445,103,16384,TCP
20.42.73.28,192.168.51.100,TCP,93,2024-12-06T10:40:08.944344,0,0,0,0,0,0,443,50445,103,16385,TLS
192.168.51.100,20.42.73.28,TCP,54,2024-12-06T10:40:08.991681,0,0,0,0,0,0,50445,443,128,509,TCP
20.42.73.28,192.168.51.100,TCP,154,2024-12-06T10:40:09.245914,0,0,0,0,0,0,443,50445,103,16385,TLS
192.168.51.100,20.42.73.28,TCP,89,2024-12-06T10:40:09.247541,0,0,0,0,0,0,50445,443,128,509,TLS
192.168.51.100,108.159.91.75,TCP,55,2024-12-06T10:40:09.259631,0,0,0,0,0,0,50438,443,128,512,TLS
108.159.91.75,192.168.51.100,TCP,66,2024-12-06T10:40:09.307566,0,0,0,0,0,0,443,50438,244,139,TCP
20.42.73.28,192.168.51.100,TCP,54,2024-12-06T10:40:09.554072,0,0,0,0,0,0,443,50445,103,16384,TCP
192.168.51.100,192.168.51.163,UDP,74,2024-12-06T10:40:15.343752,0,0,0,0,0,0,58538,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,74,2024-12-06T10:40:15.344153,0,0,0,0,0,0,55078,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,74,2024-12-06T10:40:15.344412,0,0,0,0,0,0,61698,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,102,2024-12-06T10:40:15.701280,0,0,0,0,0,0,53,58538,64,,DNS
192.168.51.163,192.168.51.100,UDP,90,2024-12-06T10:40:15.701280,0,0,0,0,0,0,53,55078,64,,DNS
192.168.51.163,192.168.51.100,UDP,99,2024-12-06T10:40:15.701280,0,0,0,0,0,0,53,61698,64,,DNS
192.168.51.100,192.168.51.163,UDP,77,2024-12-06T10:40:16.198766,0,0,0,0,0,0,59872,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,85,2024-12-06T10:40:16.238670,0,0,0,0,0,0,65279,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,77,2024-12-06T10:40:16.293203,0,0,0,0,0,0,59872,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,85,2024-12-06T10:40:16.343367,0,0,0,0,0,0,65279,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,93,2024-12-06T10:40:16.488803,0,0,0,0,0,0,53,59872,64,,DNS
192.168.51.163,192.168.51.100,UDP,130,2024-12-06T10:40:16.488803,0,0,0,0,0,0,53,65279,64,,DNS
192.168.51.100,192.168.51.163,UDP,75,2024-12-06T10:40:16.684067,0,0,0,0,0,0,56763,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,91,2024-12-06T10:40:16.733164,0,0,0,0,0,0,53,56763,64,,DNS
192.168.51.100,192.168.51.163,UDP,88,2024-12-06T10:40:16.850063,0,0,0,0,0,0,56930,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,88,2024-12-06T10:40:16.850347,0,0,0,0,0,0,56069,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,88,2024-12-06T10:40:16.850579,0,0,0,0,0,0,61920,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,116,2024-12-06T10:40:16.908025,0,0,0,0,0,0,53,56930,64,,DNS
192.168.51.163,192.168.51.100,UDP,104,2024-12-06T10:40:16.909081,0,0,0,0,0,0,53,56069,64,,DNS
192.168.51.163,192.168.51.100,UDP,138,2024-12-06T10:40:16.910764,0,0,0,0,0,0,53,61920,64,,DNS
192.168.51.100,192.168.51.163,UDP,79,2024-12-06T10:40:17.104675,0,0,0,0,0,0,57334,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,79,2024-12-06T10:40:17.105718,0,0,0,0,0,0,52410,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,79,2024-12-06T10:40:17.106649,0,0,0,0,0,0,58426,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,107,2024-12-06T10:40:17.164070,0,0,0,0,0,0,53,57334,64,,DNS
192.168.51.163,192.168.51.100,UDP,95,2024-12-06T10:40:17.164932,0,0,0,0,0,0,53,52410,64,,DNS
192.168.51.163,192.168.51.100,UDP,129,2024-12-06T10:40:17.167974,0,0,0,0,0,0,53,58426,64,,DNS
192.168.51.100,192.168.51.163,UDP,87,2024-12-06T10:40:18.123865,0,0,0,0,0,0,56304,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,87,2024-12-06T10:40:18.124570,0,0,0,0,0,0,56223,53,128,,DNS
192.168.51.100,192.168.51.163,UDP,87,2024-12-06T10:40:18.125073,0,0,0,0,0,0,53251,53,128,,DNS
192.168.51.163,192.168.51.100,UDP,325,2024-12-06T10:40:18.188573,0,0,0,0,0,0,53,56223,64,,DNS
192.168.51.163,192.168.51.100,UDP,311,2024-12-06T10:40:18.188573,0,0,0,0,0,0,53,56304,64,,DNS
192.168.51.100,207.120.40.165,TCP,66,2024-12-06T10:40:18.204765,0,0,0,0,0,0,50464,443,128,64240,TCP
192.168.51.163,192.168.51.100,UDP,311,2024-12-06T10:40:18.216008,0,0,0,0,0,0,53,53251,64,,DNS
207.120.40.165,192.168.51.100,TCP,66,2024-12-06T10:40:18.292652,0,0,0,0,0,0,443,50464,50,64240,TCP
192.168.51.100,207.120.40.165,TCP,54,2024-12-06T10:40:18.292807,0,0,0,0,0,0,50464,443,128,131072,TCP
192.168.51.100,207.120.40.165,TCP,1354,2024-12-06T10:40:18.293832,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,587,2024-12-06T10:40:18.293832,0,0,0,0,0,0,50464,443,128,131072,TLS
207.120.40.165,192.168.51.100,TCP,54,2024-12-06T10:40:18.406266,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,54,2024-12-06T10:40:18.406266,0,0,0,0,0,0,443,50464,50,63616,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.414051,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.414051,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,647,2024-12-06T10:40:18.414051,0,0,0,0,0,0,443,50464,50,64128,TLS
192.168.51.100,207.120.40.165,TCP,54,2024-12-06T10:40:18.414230,0,0,0,0,0,0,50464,443,128,131072,TCP
192.168.51.100,207.120.40.165,TCP,134,2024-12-06T10:40:18.417935,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,146,2024-12-06T10:40:18.418248,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,579,2024-12-06T10:40:18.418501,0,0,0,0,0,0,50464,443,128,131072,TLS
207.120.40.165,192.168.51.100,TCP,54,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,133,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,133,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,116,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,54,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,54,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,85,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,332,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.565498,0,0,0,0,0,0,443,50464,50,64128,TCP
192.168.51.100,207.120.40.165,TCP,54,2024-12-06T10:40:18.565841,0,0,0,0,0,0,50464,443,128,131072,TCP
192.168.51.100,207.120.40.165,TCP,85,2024-12-06T10:40:18.566420,0,0,0,0,0,0,50464,443,128,131072,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654282,0,0,0,0,0,0,443,50464,50,64128,TCP
192.168.51.100,207.120.40.165,TCP,54,2024-12-06T10:40:18.654563,0,0,0,0,0,0,50464,443,128,131072,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.654855,0,0,0,0,0,0,443,50464,50,64128,TCP
192.168.51.100,207.120.40.165,TCP,54,2024-12-06T10:40:18.654949,0,0,0,0,0,0,50464,443,128,131072,TCP
192.168.51.100,207.120.40.165,TCP,248,2024-12-06T10:40:18.762262,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.763887,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.763966,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.764006,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,143,2024-12-06T10:40:18.764570,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,137,2024-12-06T10:40:18.764632,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,138,2024-12-06T10:40:18.764668,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,135,2024-12-06T10:40:18.764703,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.764870,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.764930,0,0,0,0,0,0,50464,443,128,131072,TLS
192.168.51.100,207.120.40.165,TCP,127,2024-12-06T10:40:18.764967,0,0,0,0,0,0,50464,443,128,131072,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TCP
207.120.40.165,192.168.51.100,TCP,1334,2024-12-06T10:40:18.770891,0,0,0,0,0,0,443,50464,50,64128,TLS
